Ticker,Sector,Industry,MarketCap
DE,Industrials,Farm & Heavy Construction Machinery,131715301376
DFS,,,
DG,Consumer Defensive,Discount Stores,22384783360
DGX,Healthcare,Diagnostics & Research,21386233856
DHI,Consumer Cyclical,Residential Construction,43737702400
DHR,Healthcare,Diagnostics & Research,162822963200
DIS,Communication Services,Entertainment,187488534528
DLR,Real Estate,REIT - Specialty,54966558720
DLTR,Consumer Defensive,Discount Stores,21249409024
DOV,Industrials,Specialty Industrial Machinery,25178587136
DOW,Basic Materials,Chemicals,15779036160
DPZ,Consumer Cyclical,Restaurants,13830790144
DRI,Consumer Cyclical,Restaurants,20371462144
DTE,Utilities,Utilities - Regulated Electric,28197122048
DUK,Utilities,Utilities - Regulated Electric,95496806400
DVA,Healthcare,Medical Care Facilities,8597874688
DVN,Energy,Oil & Gas E&P,22630621184
DXC,Technology,Information Technology Services,2253593344
DXCM,Healthcare,Medical Devices,23619512320
EA,Communication Services,Electronic Gaming & Multimedia,50193801216
EBAY,Consumer Cyclical,Internet Retail,36943880192
ECL,Basic Materials,Specialty Chemicals,75747704832
ED,Utilities,Utilities - Regulated Electric,36151312384
EFX,Industrials,Consulting Services,26330974208
EG,Financial Services,Insurance - Reinsurance,13069448192
EIX,Utilities,Utilities - Regulated Electric,22540826624
EL,Consumer Defensive,Household & Personal Products,32396388352
ELV,Healthcare,Healthcare Plans,72446615552
EMN,Basic Materials,Specialty Chemicals,6835973632
EMR,Industrials,Specialty Industrial Machinery,72162213888
ENPH,Technology,Solar,3524051968
EOG,Energy,Oil & Gas E&P,58404917248
EPAM,Technology,Information Technology Services,10080026624
EQIX,,,
EQR,Real Estate,REIT - Residential,23830171648
EQT,Energy,Oil & Gas E&P,35590541312
ES,Utilities,Utilities - Regulated Electric,24218460160
ESS,Real Estate,REIT - Residential,18040686592
ETN,Industrials,Specialty Industrial Machinery,129134698496
ETR,Utilities,Utilities - Regulated Electric,41846128640
EW,Healthcare,Medical Devices,49979822080
EXC,Utilities,Utilities - Regulated Electric,46206918656
EXPD,Industrials,Integrated Freight & Logistics,19436251136
EXPE,Consumer Cyclical,Travel Services,30618370048
EXR,Real Estate,REIT - Industrial,29131728896
F,Consumer Cyclical,Auto Manufacturers,51121119232
FANG,Energy,Oil & Gas E&P,42392346624
FAST,Industrials,Industrial Distribution,45818105856
FCX,Basic Materials,Copper,57250553856
FDS,Financial Services,Financial Data & Stock Exchanges,10366069760
FDX,Industrials,Integrated Freight & Logistics,63573475328
FE,Utilities,Utilities - Regulated Electric,27086737408
FFIV,Technology,Software - Infrastructure,13514783744
FI,Technology,Information Technology Services,34314950656
FICO,Technology,Software - Application,42923335680
FIS,Technology,Information Technology Services,33468796928
FITB,Financial Services,Banks - Regional,28040118272
FLT,,,
FMC,Basic Materials,Agricultural Inputs,1592730880
FOX,Communication Services,Entertainment,27849775104
FOXA,Communication Services,Entertainment,29162598400
FRT,Real Estate,REIT - Retail,8503721472
FSLR,Technology,Solar,26817378304
FTNT,Technology,Software - Infrastructure,60423913472
FTV,Technology,Scientific & Technical Instruments,17870925824
GD,Industrials,Aerospace & Defense,91932794880
GE,Industrials,Aerospace & Defense,304812687360
GEHC,Healthcare,Health Information Services,34904166400
GEN,Technology,Software - Infrastructure,16367645696
GFS,Technology,Semiconductors,18887622656
GILD,Healthcare,Drug Manufacturers - General,157135781888
GIS,Consumer Defensive,Packaged Foods,25841369088
GL,Financial Services,Insurance - Life,10726488064
GLW,Technology,Electronic Components,68125855744
GM,Consumer Cyclical,Auto Manufacturers,66959634432
GNRC,Industrials,Specialty Industrial Machinery,8570220544
GOOG,Communication Services,Internet Content & Information,3617324793856
GOOGL,Communication Services,Internet Content & Information,3629518422016
GPC,Consumer Cyclical,Auto Parts,17884045312
GPN,Industrials,Specialty Business Services,17829195776
GRMN,Technology,Scientific & Technical Instruments,37003112448
GS,Financial Services,Capital Markets,234315218944
GWW,Industrials,Industrial Distribution,45543473152
HAL,Energy,Oil & Gas Equipment & Services,22014185472
HAS,Consumer Cyclical,Leisure,11114691584
HBAN,Financial Services,Banks - Regional,24890165248
HCA,Healthcare,Medical Care Facilities,114890809344
HD,Consumer Cyclical,Home Improvement Retail,341736128512
HES,,,
HIG,Financial Services,Insurance - Property & Casualty,38365872128
HII,Industrials,Aerospace & Defense,11987864576
HLT,Consumer Cyclical,Lodging,64555986944
HOLX,Healthcare,Medical Instruments & Supplies,16575233024
HON,Industrials,Conglomerates,128048726016
HPE,Technology,Communication Equipment,27075117056
HPQ,Technology,Computer Hardware,22504978432
HRL,Consumer Defensive,Packaged Foods,12479465472
HSIC,Healthcare,Medical Distribution,8901100544
HST,Real Estate,REIT - Hotel & Motel,12134362112
HSY,Consumer Defensive,Confectioners,37718032384
HUBB,Industrials,Electrical Equipment & Parts,22418581504
HUM,Healthcare,Healthcare Plans,27314016256
HWM,Industrials,Aerospace & Defense,79405203456
IBM,Technology,Information Technology Services,278027665408
ICE,Financial Services,Financial Data & Stock Exchanges,88399298560
IDXX,Healthcare,Diagnostics & Research,58076205056
IEX,Industrials,Specialty Industrial Machinery,12847775744
IFF,Basic Materials,Specialty Chemicals,17286563840
ILMN,Healthcare,Diagnostics & Research,19035744256
INCY,Healthcare,Biotechnology,20036694016
INTC,Technology,Semiconductors,164564992000
INTU,Technology,Software - Application,184889540608
IP,Consumer Cyclical,Packaging & Containers,19891202048
IPG,Communication Services,Advertising Agencies,9420371968
IQV,Healthcare,Diagnostics & Research,38300467200
IR,Industrials,Specialty Industrial Machinery,31215921152
IRM,Real Estate,REIT - Specialty,25131018240
ISRG,Healthcare,Medical Instruments & Supplies,201323986944
IT,Technology,Information Technology Services,17735806976
ITW,Industrials,Specialty Industrial Machinery,72224956416
IVZ,Financial Services,Asset Management,10355278848
J,Industrials,Engineering & Construction,15392711680
JBHT,Industrials,Integrated Freight & Logistics,16110303232
JBL,Technology,Electronic Components,21109614592
JCI,Industrials,Building Products & Equipment,74305470464
JD,Consumer Cyclical,Internet Retail,42683498496
JKHY,Technology,Information Technology Services,12411215872
JNJ,Healthcare,Drug Manufacturers - General,491255267328
JNPR,,,
JPM,Financial Services,Banks - Diversified,819481608192
K,Consumer Defensive,Packaged Foods,29034977280
KDP,Consumer Defensive,Beverages - Non-Alcoholic,37687095296
KEY,Financial Services,Banks - Regional,19539912704
KEYS,Technology,Scientific & Technical Instruments,29724923904
KHC,Consumer Defensive,Packaged Foods,29934649344
KIM,Real Estate,REIT - Retail,13787693056
KLAC,Technology,Semiconductor Equipment & Materials,144473735168
KMB,Consumer Defensive,Household & Personal Products,34904870912
KMI,Energy,Oil & Gas Midstream,60024033280
KMX,Consumer Cyclical,Auto & Truck Dealerships,5302049792
